iter	Passed	Remaining
983	40323	655
984	40356	614
985	40389	573
986	40422	532
987	40458	491
988	40489	450
989	40524	409
990	40557	368
991	40589	327
992	40621	286
993	40655	245
994	40686	204
995	40719	163
996	40752	122
997	40786	81
998	40821	40
999	40853	0
